DC Candidate ID,Name,Company Name,Company Number,Company Status,Role,Role Status,Role Appointed Date,Role Resigned Date
15,Mark Fraser WILLIAMS,ABERYSTWYTH AND DISTRICT HOSPICE AT HOME VOLUNTEERS,09261439,Active,Director,Active,17 October 2017,
15,Mark Fraser WILLIAMS,VETERAN FILMS LTD,09251030,Dissolved,Director,Resigned,15 September 2015,30 November 2016
45,Daniel Stephen ZEICHNER,PETTITTS LTD,05574504,Active,Director,Active,5 April 2006,
45,Daniel Stephen ZEICHNER,THE SOCIALIST ENVIRONMENT AND RESOURCES ASSOCIATION,03775489,Active,Director,Resigned,1 August 2003,19 June 2010
84,Therese Anna COFFEY,THE PREMIER LEAGUE CHARITABLE FUND,07331384,Active,Director,Resigned,5 July 2012,8 September 2014
84,Therese Anna COFFEY,THE PREMIER LEAGUE CHARITABLE FUND,07331384,Active,Director,Resigned,5 July 2012,8 September 2014
84,Therese Anna COFFEY,THE PREMIER LEAGUE CHARITABLE FUND,07331384,Active,Director,Resigned,5 July 2012,8 September 2014
90,Phil SIMPSON,MOOR POOL HERITAGE TRUST,07731184,Active,Director,Active,1 February 2018,
92,Frank FIELD,UNITED LEARNING TRUST,04439859,Active,Director,Resigned,8 October 2003,7 October 2005
96,Roger Kingdon HARMER,ACOCKS GREEN PRIMARY SCHOOL,08424090,Active,Director,Active,28 February 2013,
96,Roger Kingdon HARMER,SUSTAINING SUCCESS LIMITED,07546756,Active,Director,Active,14 March 2011,
96,Roger Kingdon HARMER,ACIVICO (BUILDING CONSULTANCY) LIMITED,07918763,Active,Director,Resigned,1 May 2012,19 May 2012
96,Roger Kingdon HARMER,ACIVICO LIMITED,07792304,Active,Director,Resigned,6 January 2012,19 May 2012
96,Roger Kingdon HARMER,STOCKFIELD COMMUNITY ASSOCIATION,02588109,Active,Director,Resigned,29 July 2011,4 May 2012
96,Roger Kingdon HARMER,STOCKFIELD COMMUNITY ASSOCIATION (SUBSIDIARY) LIMITED,02624455,Active,Director,Resigned,29 July 2011,4 May 2012
96,Roger Kingdon HARMER,ACOCKS GREEN PRIMARY SCHOOL,08424090,Active,Director,Active,28 February 2013,
96,Roger Kingdon HARMER,SUSTAINING SUCCESS LIMITED,07546756,Active,Director,Active,14 March 2011,
96,Roger Kingdon HARMER,ACIVICO (BUILDING CONSULTANCY) LIMITED,07918763,Active,Director,Resigned,1 May 2012,19 May 2012
96,Roger Kingdon HARMER,ACIVICO LIMITED,07792304,Active,Director,Resigned,6 January 2012,19 May 2012
96,Roger Kingdon HARMER,STOCKFIELD COMMUNITY ASSOCIATION,02588109,Active,Director,Resigned,29 July 2011,4 May 2012
96,Roger Kingdon HARMER,STOCKFIELD COMMUNITY ASSOCIATION (SUBSIDIARY) LIMITED,02624455,Active,Director,Resigned,29 July 2011,4 May 2012
108,Joanne Kate SWINSON,THE WESTMINSTER FOUNDATION FOR DEMOCRACY LIMITED,02693163,Active,Director,Resigned,14 January 2009,24 June 2010
143,Rushanara ALI,ONE MILLION MENTORS COMMUNITY INTEREST COMPANY,09814018,Active,Director,Active,7 October 2015,
143,Rushanara ALI,THE WESTMINSTER FOUNDATION FOR DEMOCRACY LIMITED,02693163,Active,Director,Active,30 January 2013,
143,Rushanara ALI,UPRISING LEADERSHIP,08252639,Active,Director,Active,15 October 2012,
143,Rushanara ALI,FUTUREVERSITY LTD.,02017713,Active,Director,Resigned,23 September 2002,8 November 2011
143,Rushanara ALI,PAUL HAMLYN FOUNDATION,05042279,Active,Director,Resigned,25 May 2004,30 June 2009
151,David Michael GAUKE,INTELLIGENT MANAGED SERVICES LIMITED,05486286,Dissolved,Director,Resigned,1 March 2007,6 April 2009
155,John Philip GLEN,J P G STRATEGIC SERVICES LIMITED,05833134,Dissolved,Director,,31 May 2006,
165,Barry Stewart GOLTON,THE FAIR EXCHANGE LEEDS LIMITED,09369704,Active,Director,Active,30 December 2014,
165,Barry Stewart GOLTON,LEEDS SOUTH EAST HOMES LIMITED,04594819,Dissolved,Director,,24 January 2007,
165,Barry Stewart GOLTON,LEEDS SOUTH HOMES LIMITED,04594833,Dissolved,Director,,26 July 2006,
165,Barry Stewart GOLTON,AIRE VALLEY HOMES LEEDS LTD,06031620,Dissolved,Director,Resigned,24 January 2007,8 June 2011
165,Barry Stewart GOLTON,SOUTH LEEDS ACADEMY TRUST,06948499,Dissolved,Director,Resigned,29 September 2009,1 July 2010
165,Barry Stewart GOLTON,LEEDS BRADFORD AIRPORT LIMITED,02065958,Active,Director,Resigned,28 June 2004,1 May 2007
165,Barry Stewart GOLTON,WELCOME TO YORKSHIRE,02896762,Active,Director,Resigned,26 July 2004,31 March 2005
165,Barry Stewart GOLTON,LEEDS BRADFORD AIRPORT LIMITED,02065958,Active,Director,Resigned,23 July 1999,19 May 2003
165,Barry Stewart GOLTON,THE FAIR EXCHANGE LEEDS LIMITED,09369704,Active,Director,Active,30 December 2014,
165,Barry Stewart GOLTON,LEEDS SOUTH EAST HOMES LIMITED,04594819,Dissolved,Director,,24 January 2007,
165,Barry Stewart GOLTON,LEEDS SOUTH HOMES LIMITED,04594833,Dissolved,Director,,26 July 2006,
165,Barry Stewart GOLTON,AIRE VALLEY HOMES LEEDS LTD,06031620,Dissolved,Director,Resigned,24 January 2007,8 June 2011
165,Barry Stewart GOLTON,SOUTH LEEDS ACADEMY TRUST,06948499,Dissolved,Director,Resigned,29 September 2009,1 July 2010
165,Barry Stewart GOLTON,LEEDS BRADFORD AIRPORT LIMITED,02065958,Active,Director,Resigned,28 June 2004,1 May 2007
165,Barry Stewart GOLTON,WELCOME TO YORKSHIRE,02896762,Active,Director,Resigned,26 July 2004,31 March 2005
165,Barry Stewart GOLTON,LEEDS BRADFORD AIRPORT LIMITED,02065958,Active,Director,Resigned,23 July 1999,19 May 2003
178,Paul Christopher BLOMFIELD,FOCUS ON LABOUR EXPLOITATION,08451701,Active,Director,Active,26 March 2014,
178,Paul Christopher BLOMFIELD,FOCUS ON LABOUR EXPLOITATION,08451701,Active,Director,Active,26 March 2014,
189,Anne-Marie Belinda TREVELYAN,THE BELSAY TRUST,08217668,Active,Director,Active,17 September 2012,
189,Anne-Marie Belinda TREVELYAN,VOTE LEAVE LIMITED,09785255,Active,Director,Resigned,22 March 2016,30 June 2016
189,Anne-Marie Belinda TREVELYAN,BERWICK ACADEMY,07807248,Active,Director,Resigned,12 October 2011,5 April 2016
189,Anne-Marie Belinda TREVELYAN,NETHERWITTON HEATING COMPANY LIMITED,07616709,Active,Director,Resigned,27 April 2011,11 March 2015
189,Anne-Marie Belinda TREVELYAN,ASCHAM HOUSE SCHOOL TRUST LIMITED,01507528,Dissolved,Director,Resigned,17 November 2003,24 January 2005
191,Derek THOMAS,YMCA CORNWALL,03684583,Active,Director,Resigned,16 December 1998,5 July 2001
195,Desmond Angus SWAYNE,CO-GAS SAFETY THE CARBON MONOXIDE AND GAS SAFETY SOCIETY,03084435,Active,Director,Resigned,19 October 2004,11 November 2010
195,Desmond Angus SWAYNE,CO-GAS SAFETY THE CARBON MONOXIDE AND GAS SAFETY SOCIETY,03084435,Active,Director,Resigned,19 October 2004,11 November 2010
202,Mark Julian Francis PAWSEY,PWC TOURNAMENT 2015 LTD,08896728,Dissolved,Director,,17 February 2014,
202,Mark Julian Francis PAWSEY,POLICY RESEARCH UNIT LIMITED,07960177,Active,Director,Active,10 September 2012,
202,Mark Julian Francis PAWSEY,CENTRAL CATERING SUPPLIES LIMITED,03888254,Dissolved,Director,Resigned,9 December 1999,4 April 2008
202,Mark Julian Francis PAWSEY,M.J.F.P. HOLDINGS LIMITED,03880904,Dissolved,Director,Resigned,20 December 1999,4 April 2008
216,Shabana MAHMOOD,ALHUDA HEALTHCARE LTD,08287782,Active,Director,Active,1 June 2017,
216,Shabana MAHMOOD,HUR PHARMA LIMITED,05513496,Dissolved,Director,,1 May 2009,
216,Shabana MAHMOOD,HUR PHARMA LIMITED,05513496,Dissolved,Secretary,,1 May 2009,
227,Bob BLACKMAN,COMMONWEALTH PARLIAMENTARY ASSOCIATION (UNITED KINGDOM BRANCH),04606846,Active,Director,Active,4 July 2018,
234,Andrew SLAUGHTER,HAMMERSMITH AND FULHAM COMMUNITY LAW CENTRE,01417251,Active,Director,Active,3 February 2018,
234,Andrew Francis SLAUGHTER,BROADWAY HOMELESSNESS AND SUPPORT,01299109,Active,Director,Resigned,17 November 1993,4 May 2004
234,Andrew Francis SLAUGHTER,LONDON COUNCILS LIMITED,03037449,Active,Director,Resigned,22 January 1997,15 July 1998
234,Andrew Francis SLAUGHTER,LOCAL INFORMATION UNIT LIMITED,01872218,Active,Director,Resigned,8 July 1994,27 June 1997
234,Andrew Francis SLAUGHTER,PARK ROYAL PARTNERSHIP LIMITED,02702122,Dissolved,Director,Resigned,1 April 1993,30 August 1995
234,Andrew SLAUGHTER,HAMMERSMITH AND FULHAM COMMUNITY LAW CENTRE,01417251,Active,Director,Active,3 February 2018,
234,Andrew Francis SLAUGHTER,BROADWAY HOMELESSNESS AND SUPPORT,01299109,Active,Director,Resigned,17 November 1993,4 May 2004
234,Andrew Francis SLAUGHTER,LONDON COUNCILS LIMITED,03037449,Active,Director,Resigned,22 January 1997,15 July 1998
234,Andrew Francis SLAUGHTER,LOCAL INFORMATION UNIT LIMITED,01872218,Active,Director,Resigned,8 July 1994,27 June 1997
234,Andrew Francis SLAUGHTER,PARK ROYAL PARTNERSHIP LIMITED,02702122,Dissolved,Director,Resigned,1 April 1993,30 August 1995
248,Nia Rhiannon GRIFFITH,LLANELLI RAILWAY GOODS SHED TRUST,07583629,Active,Director,Active,30 March 2011,
282,Gordon Leonard HENDERSON,SHEPPEY NATURAL BURIAL GROUND LIMITED,10684577,Active,Director,Active,22 March 2017,
282,Gordon Leonard HENDERSON,LITTER ANGELS,07604023,Active,Director,Active,14 April 2011,
282,Gordon Leonard HENDERSON,HALFWAY CONSERVATIVE INVESTMENTS LTD.,00332765,Active,Director,Active,14 December 1999,
282,Gordon Leonard HENDERSON,SHEPPEY NATURAL BURIAL GROUND LIMITED,10684577,Active,Director,Active,22 March 2017,
282,Gordon Leonard HENDERSON,LITTER ANGELS,07604023,Active,Director,Active,14 April 2011,
282,Gordon Leonard HENDERSON,HALFWAY CONSERVATIVE INVESTMENTS LTD.,00332765,Active,Director,Active,14 December 1999,
